trdmn	mkt_rf	smb	hml	umd	rmw	cma	rf	smb_equal	hml_equal	umd_equal	rmw_equal	cma_equal
2004-03	0.0348946724	0.0183499672	0.0160393474	-0.009576651	0.0034109903	-0.012465248	0.001635	0.0161249656	0.0175827122	-0.015088467	-0.00389382	-0.010118397
2004-04	-0.103841058	0.0161505345	0.0335648577	0.0578601829	0.0201259144	0.0079842137	0.001635	0.0043514853	0.0253089284	0.0275089053	0.0285157113	-0.014576942
2004-05	-0.024177378	0.0198742795	0.0117734666	0.0105541222	-0.010319918	-0.005270416	0.001635	0.0185934145	0.0054389439	-0.006155798	-0.014030752	-0.001022414
2004-06	-0.11781212	-0.018215398	0.003232322	0.0249877859	0.046115878	-0.017466145	0.001635	-0.008494237	0.0079078374	0.0145746412	0.0383086104	-0.018196274
2004-07	-0.002368139	-0.047252008	0.0072771622	0.0395702348	0.0361057998	-0.018719509	0.001635	-0.048711739	0.0079852453	0.0521487073	0.0445261896	-0.008333624
2004-08	-0.046081492	-0.00069957	0.0232327347	0.0118538625	0.0220145738	-0.005348009	0.001635	0.0084256014	0.0235477167	-0.006843167	0.0088384186	-0.005604728
2004-09	0.0554700093	-0.021607261	-0.001861831	0.0282005018	0.0399746094	-0.042232689	0.001635	-0.019844558	-0.002689533	0.0246072332	0.0328377067	-0.027779144
2004-10	-0.055285995	-0.035751565	-0.006068184	0.0701727026	0.0422749818	-0.027231347	0.001856	-0.03636181	-0.000406289	0.075269727	0.0509217529	-0.038442808
2004-11	0.0224490019	0.0408475687	-0.003169636	-0.076970194	-0.051170427	0.0116678517	0.001856	0.0345977764	-0.008820545	-0.080682088	-0.053090651	0.0164348881
2004-12	-0.070649653	-0.021369973	0.0047914163	0.0532919083	0.0389792939	-0.027507977	0.001856	-0.008975856	0.0018355105	0.0400006241	0.0238877622	-0.019895974
2005-01	-0.059441081	-0.011125123	-0.003726174	0.0084430562	0.0273805845	-0.013009866	0.001856	0.0047047686	-0.008144525	-0.004183801	0.0046196336	0.004033128
2005-02	0.0933924644	0.0127534711	0.0090821491	-0.038231484	-0.014275869	-0.0126543	0.001856	-0.000164035	0.001088931	-0.02342206	-0.003886498	-0.006398272
2005-03	-0.107158416	-0.025123379	0.0011052898	0.0853218344	0.0565471709	-0.030502335	0.001856	-0.009249288	-0.000694027	0.0507881566	0.0371872852	-0.017991021
2005-04	-0.038247142	-0.049412492	0.0260977019	0.0856961391	0.0763535092	-0.021764929	0.001856	-0.040696613	0.0151012357	0.0995770744	0.0592964886	-0.011180801
2005-05	-0.071624266	0.0392941845	-0.01408165	-0.112093678	-0.067923664	0.0372511922	0.001856	0.0274580884	-0.001811616	-0.093554068	-0.048699811	0.0214234261
2005-06	0.0075579253	-0.017135799	0.0002412181	0.0452856003	0.0386074042	-0.000028072	0.001856	-0.001383004	0.008099467	0.0311677748	0.0212503313	-0.01821133
2005-07	-0.021646262	-0.083741227	-0.001992934	0.1006618867	0.0851333294	-0.04821639	0.001856	-0.051807897	-0.006738038	0.0783940881	0.0530324638	-0.038373565
2005-08	0.0882562707	0.111117962	-0.01303992	-0.153224248	-0.107959832	0.0500420504	0.001856	0.0829156033	-0.012381801	-0.140376371	-0.075453492	0.0599136182
2005-09	0.0050552113	0.0223926037	-0.017468322	-0.007208358	0.0055373495	-0.011279694	0.001856	0.0098545138	-0.031516797	0.0123028994	0.00660119	-0.007735381
2005-10	-0.055490089	-0.01576034	-0.010681784	0.0420181791	0.0193865019	-0.016556986	0.001856	-0.014005675	-0.008719914	0.0356012892	0.0217696668	-0.019265044
2005-11	-0.005967713	0.0358941513	0.0134862046	-0.049206108	-0.029390565	0.0110302955	0.001856	0.0337570775	0.012133145	-0.050056402	-0.025315386	0.0120431796
2005-12	0.0503335108	-0.055845229	0.014249437	0.0372163039	0.0415382287	-0.040634145	0.001856	-0.048065774	0.0073764328	0.0335101482	0.0432953525	-0.034687153
2006-01	0.0940595847	-0.0243118	0.0178908319	0.0154633656	0.0037454172	-0.032303802	0.001856	-0.046886327	0.0140087699	0.0290599257	0.027999866	-0.038618691
2006-02	0.0277670259	0.0012171182	0.0155287411	-0.0277723	0.0049136392	-0.007315155	0.001856	0.0178635235	0.0233841409	-0.061932677	-0.021466513	0.0211669106
2006-03	0.0188829988	-0.020187539	-0.00388034	0.0912237112	0.0306311712	-0.036058363	0.001856	-0.027383045	-0.002227045	0.0786098627	0.0542932375	-0.031087622
2006-04	0.1115974128	-0.047617275	-0.001760774	0.0895202368	0.004622147	-0.011066904	0.001856	-0.063776155	0.0260079777	0.1185254694	0.0493244589	-0.053114444
2006-05	0.2097504722	0.0815078571	0.0269359665	-0.090705414	-0.109739947	0.0511700672	0.001856	0.0635098947	0.0186990087	-0.122071267	-0.085898844	0.0582604406
2006-06	0.0431995801	0.0317616534	0.011504104	-0.033875357	-0.022344153	0.0444926849	0.001856	0.0210965266	0.0259961823	-0.045164773	-0.020747108	0.0412691196
2006-07	-0.056830078	0.0581279119	-0.002919451	-0.005287413	-0.031236023	0.0249424896	0.001856	0.0519931782	0.0020244696	-0.019599649	-0.033717657	0.0406405721
2006-08	0.0301472678	-0.007378182	-0.006413585	0.0174095056	-0.000655349	-0.007985091	0.002076	-0.011822103	-0.008335311	0.0197749481	0.0004169002	-0.001011563
2006-09	0.0397635113	0.0252912197	-0.019467385	-0.006896949	-0.02243544	0.014628167	0.002076	0.0252777308	-0.026399119	-0.020222258	-0.036050064	0.0218705082
2006-10	0.0125989454	-0.019977484	0.0129205115	-0.022386601	0.0465544896	-0.016397836	0.002076	-0.007614943	0.0140091184	-0.00429958	0.0314154012	-0.019172512
2006-11	0.1083885873	-0.116265669	-0.010197309	0.0542113422	0.1170879253	-0.080120959	0.002076	-0.070670771	-0.00581884	0.0626430842	0.0761401218	-0.044050865
2006-12	0.1152845356	-0.094675107	0.0108950506	0.0771734148	0.0838690793	-0.029946315	0.002076	-0.049289208	0.0022707548	0.0660194781	0.0528656928	-0.022369193
2007-01	0.2078347378	0.0576085668	-0.002530154	-0.063349234	-0.072868822	0.0290775089	0.002076	0.0160980107	0.0043523693	-0.029718652	-0.028806286	0.0381388312
2007-02	0.1271769678	0.0965436498	0.0775305677	-0.10443317	-0.127440939	0.1045536134	0.002076	0.0617329554	0.0732721336	-0.09088276	-0.105968552	0.0585470723
2007-03	0.1242808001	0.1086852741	0.0301735217	-0.056306451	-0.080182665	0.0337438169	0.002296	0.0984422345	0.0177944359	-0.06654249	-0.083688588	0.0694577231
